,Reason,External Doc No.,Doc Type,Customer No.,Amount,UserID,Open,Ali_Amount,Ali_Type
62,Empty,1106001702616323495	,Invoice,SUD0128,632.91,,False,,
63,PriceError,1106007110357600395	,Invoice,SUD0127,383.44,,False,383.44,Counted Price
64,PriceError,1106012902942757795	,Invoice,SUD0127,0.0,,False,0.0,Counted Price
65,PriceError,1106105222676045798	,Invoice,SUD0127,900.0,,False,900.0,Counted Price
66,Empty,1106163079482573495	,Invoice,SUD0128,0.0,,False,,
67,Empty,1106273991416459089	,Invoice,SUD0128,949.0,,False,,
68,PriceError,1106294375717518794	,Invoice,SUD0127,725.0,,False,725.0,Counted Price
69,Empty,1106302662384963989	,Invoice,SUD0128,359.0,,False,,
70,PriceError,1106317671801193194	,Invoice,SUD0127,900.0,,False,900.0,Counted Price
71,PriceError,1106359879399887993	,Invoice,SUD0127,0.0,,False,0.0,Counted Price
72,Empty,1106393734293295088	,Invoice,SUD0128,309.0,,False,,
73,PriceError,1106407622616030090	,Invoice,SUD0127,605.0,,False,605.0,Counted Price
74,PriceError,1106410407256039992	,Invoice,SUD0127,0.0,,False,0.0,Counted Price
75,Empty,1106451782093384598	,Invoice,SUD0128,574.5,,False,,
76,Empty,1106468519970573495	,Invoice,SUD0128,799.0,,False,,
77,Empty,1106511463598711993	,Invoice,SUD0128,199.0,,False,,
78,PriceError,1106577638035294195	,Invoice,SUD0127,595.0,,False,595.0,Counted Price
79,Empty,1106595686241327298	,Invoice,SUD0128,359.0,,False,,
80,Empty,1106636871890385098	,Invoice,SUD0128,859.5,,False,,
81,PriceError,1106977063224026692	,Invoice,SUD0127,195.0,,False,195.0,Counted Price
82,PriceError,1106978759527436190	,Invoice,SUD0127,0.0,,False,0.0,Counted Price
83,Empty,1106983975597199896	,Invoice,SUD0128,1610.0,,False,,
84,Empty,1106986407547745996	,Invoice,SUD0128,803.0,,False,,
85,Empty,1107000423962963391	,Invoice,SUD0128,585.0,,False,,
86,Empty,1107001223159478499	,Invoice,SUD0128,1162.1,,False,,
87,Empty,1107024551041932399	,Invoice,SUD0128,789.5,,False,,
88,PriceError,1107041287161612399	,Invoice,SUD0127,545.0,,False,545.0,Counted Price
89,PriceError,1107058919440505487	,Invoice,SUD0127,435.0,,False,435.0,Counted Price
90,Empty,1107159943797042192	,Invoice,SUD0128,585.0,,False,,
91,PriceError,1107170950738580891	,Invoice,SUD0127,709.0,,False,709.0,Counted Price
92,PriceError,1107178342173689898	,Invoice,SUD0127,0.0,,False,0.0,Counted Price
93,PriceError,1107179174921732593	,Invoice,SUD0127,0.0,,False,0.0,Counted Price
94,PriceError,1107180038008039992	,Invoice,SUD0127,395.0,,False,395.0,Counted Price
95,PriceError,1107180582538753895	,Invoice,SUD0127,575.71,,False,575.71,Counted Price
96,PriceError,1107180998309202595	,Invoice,SUD0127,930.0,,False,930.0,Counted Price
97,PriceError,1107190918766702096	,Invoice,SUD0127,690.47,,False,690.47,Counted Price
98,PriceError,1107203174915386789	,Invoice,SUD0127,535.0,,False,535.0,Counted Price
99,PriceError,1107204806095489794	,Invoice,SUD0127,535.0,,False,535.0,Counted Price
100,Empty,1107207494666827192	,Invoice,SUD0128,329.0,,False,,
101,PriceError,1107208998710565494	,Invoice,SUD0127,0.0,,False,0.0,Counted Price
102,PriceError,1107216774394108988	,Invoice,SUD0127,659.0,,False,659.0,Counted Price
103,PriceError,1107227654635113394	,Invoice,SUD0127,385.0,,False,385.0,Counted Price
104,Empty,1107241191807551997	,Invoice,SUD0128,779.0,,False,,
105,Empty,1107243527936270696	,Invoice,SUD0128,779.0,,False,,
106,PriceError,1107254407982251799	,Invoice,SUD0127,629.0,,False,629.0,Counted Price
107,PriceError,1107277126918026692	,Invoice,SUD0127,575.0,,False,575.0,Counted Price
108,PriceError,1107282758318638587	,Invoice,SUD0127,535.0,,False,535.0,Counted Price
109,Empty,1107303815388283393	,Invoice,SUD0128,229.0,,False,,
110,PriceError,1107306246308881991	,Invoice,SUD0127,599.0,,False,599.0,Counted Price
111,PriceError,1107313286517975495	,Invoice,SUD0127,0.0,,False,0.0,Counted Price
112,PriceError,1107350918404293788	,Invoice,SUD0127,930.0,,False,930.0,Counted Price
113,Empty,1107393063857660992	,Invoice,SUD0128,0.0,,False,,
114,PriceError,1107400007307455490	,Invoice,SUD0127,829.0,,False,829.0,Counted Price
115,PriceError,1107409127740604693	,Invoice,SUD0127,590.0,,False,591.0,Counted Price
116,PriceError,1107456007807088288	,Invoice,SUD0127,609.0,,False,609.0,Counted Price
117,Empty,1107495015696463796	,Invoice,SUD0128,865.1,,False,,
118,Empty,1107516806905456788	,Invoice,SUD0128,135.0,,False,,
119,PriceError,1107526470424164389	,Invoice,SUD0127,0.0,,False,0.0,Counted Price
120,Empty,1107539175034392796	,Invoice,SUD0128,0.0,,False,,
121,Empty,1107603143435819387	,Invoice,SUD0128,0.0,,False,,
122,PriceError,1107684774267083293	,Invoice,SUD0127,579.0,,False,579.0,Counted Price
123,Empty,1107699654759573697	,Invoice,SUD0128,348.0,,False,,
124,PriceError,1107752966038258898	,Invoice,SUD0127,535.0,,False,535.0,Counted Price
125,PriceError,1107766726626949699	,Invoice,SUD0127,349.0,,False,349.0,Counted Price
126,PriceError,1107797254904821188	,Invoice,SUD0127,725.0,,False,725.0,Counted Price
127,PriceError,1107819398965061391	,Invoice,SUD0127,535.0,,False,535.0,Counted Price
128,PriceError,1107853798961560895	,Invoice,SUD0127,535.0,,False,535.0,Counted Price
129,Empty,1109272389025163898	,Invoice,SUD0128,471.62,,False,,
130,PriceError,1109291205938171097	,Invoice,SUD0127,649.0,,False,649.0,Counted Price
131,PriceError,1109363045337717192	,Invoice,SUD0127,665.0,,False,665.0,Counted Price
132,Empty,1109371621725141997	,Invoice,SUD0128,769.0,,False,,
133,Empty,1109445797394454997	,Invoice,SUD0128,565.0,,False,,
134,Empty,1109457637588785587	,Invoice,SUD0128,1184.1,,False,,
135,PriceError,1109628805159846897	,Invoice,SUD0127,800.0,,False,800.0,Counted Price
136,Empty,1109897669265967487	,Invoice,SUD0128,1680.0,,False,,
137,Empty,1109944741264295088	,Invoice,SUD0128,309.0,,False,,
138,PriceError,1110009893142049091	,Invoice,SUD0127,1508.0,,False,1508.0,Counted Price
139,Empty,1110117509596394394	,Invoice,SUD0128,729.0,,False,,
140,Empty,1110126661009442893	,Invoice,SUD0128,0.0,,False,,
141,Empty,1110197381462957989	,Invoice,SUD0128,655.0,,False,,
142,PriceError,1110691845860365687	,Invoice,SUD0127,645.0,,False,645.0,Counted Price
143,PriceError,1110692357781832299	,Invoice,SUD0127,385.0,,False,385.0,Counted Price
144,PriceError,1110693061409511796	,Invoice,SUD0127,0.0,,False,0.0,Counted Price
145,PriceError,1110693605770039992	,Invoice,SUD0127,585.0,,False,585.0,Counted Price
146,PriceError,1110693925144732593	,Invoice,SUD0127,0.0,,False,0.0,Counted Price
147,PriceError,1110694757924911394	,Invoice,SUD0127,379.0,,False,379.0,Counted Price
148,PriceError,1110704293159081793	,Invoice,SUD0127,0.0,,False,0.0,Counted Price
149,PriceError,1110708037476448389	,Invoice,SUD0127,609.0,,False,609.0,Counted Price
150,PriceError,1110719589463589496	,Invoice,SUD0127,435.0,,False,435.0,Counted Price
151,PriceError,1110737989049931290	,Invoice,SUD0127,385.0,,False,385.0,Counted Price
152,PriceError,1110743269872386391	,Invoice,SUD0127,739.0,,False,739.0,Counted Price
153,PriceError,1110748741556588190	,Invoice,SUD0127,930.0,,False,930.0,Counted Price
154,PriceError,1110752037305798787	,Invoice,SUD0127,245.0,,False,245.0,Counted Price
155,Empty,1110781893827897391	,Invoice,SUD0128,0.0,,False,,
156,Empty,1110785669924963391	,Invoice,SUD0128,1319.0,,False,,
157,Empty,1110788581610579993	,Invoice,SUD0128,0.0,,False,,
158,PriceError,1110791333529653294	,Invoice,SUD0127,435.0,,False,435.0,Counted Price
159,PriceError,1110980421498162392	,Invoice,SUD0127,349.0,,False,349.0,Counted Price
160,PriceError,1110990501685634190	,Invoice,SUD0127,640.0,,False,640.0,Counted Price
161,Empty,1111052453639685788	,Invoice,SUD0128,635.0,,False,,
162,PriceError,1111057765580101798	,Invoice,SUD0127,535.0,,False,535.0,Counted Price
163,Empty,1111071877329227293	,Invoice,SUD0128,341.1,,False,,
164,PriceError,1111169861296471389	,Invoice,SUD0127,780.0,,False,780.0,Counted Price
165,PriceError,1111177669192628297	,Invoice,SUD0127,739.0,,False,739.0,Counted Price
166,PriceError,1111226245011150393	,Invoice,SUD0127,640.0,,False,640.0,Counted Price
167,Empty,1111232901166832791	,Invoice,SUD0128,1099.0,,False,,
168,PriceError,1111257829394761289	,Invoice,SUD0127,609.0,,False,609.0,Counted Price
169,PriceError,1111325029487899490	,Invoice,SUD0127,349.0,,False,349.0,Counted Price
170,PriceError,1111334437416551889	,Invoice,SUD0127,513.22,,False,513.22,Counted Price
171,Empty,1111337573336571392	,Invoice,SUD0128,585.0,,False,,
172,PriceError,1111363429084356990	,Invoice,SUD0127,1390.0,,False,1390.0,Counted Price
173,PriceError,1160123617127096229	,Invoice,SUD0127,-759.0,,False,0.0,Counted Price
174,Empty,1161614209493330045	,Invoice,SUD0128,279.0,,False,,
175,Empty,1162906144626682978	,Invoice,SUD0128,712.89,,False,,
176,Empty,1162912608843211854	,Invoice,SUD0128,709.5,,False,,
177,PriceError,1162956896514921439	,Invoice,SUD0127,665.0,,False,665.0,Counted Price
178,PriceError,1162973600158350130	,Invoice,SUD0127,476.73,,False,476.73,Counted Price
179,Empty,1162973920411557134	,Invoice,SUD0128,0.0,,False,,
180,PriceError,1162980064368842922	,Invoice,SUD0127,566.4,,False,566.4,Counted Price
181,Empty,1163010400420401182	,Invoice,SUD0128,0.0,,False,,
182,PriceError,1163036736830365024	,Invoice,SUD0127,399.0,,False,389.0,Counted Price
183,PriceError,1163046784829981272	,Invoice,SUD0127,395.0,,False,395.0,Counted Price
184,PriceError,1163066976593595917	,Invoice,SUD0127,699.0,,False,699.0,Counted Price
185,PriceError,1163070144303162410	,Invoice,SUD0127,600.55,,False,600.55,Counted Price
186,Empty,1163079104827756927	,Invoice,SUD0128,709.1,,False,,
187,Empty,1163083456453034492	,Invoice,SUD0128,319.0,,False,,
188,Empty,1163102016403269924	,Invoice,SUD0128,0.0,,False,,
189,Empty,1163108160197226437	,Invoice,SUD0128,709.5,,False,,
190,PriceError,1163120640153813519	,Invoice,SUD0127,316.38,,False,316.38,Counted Price
191,PriceError,1163125248935960369	,Invoice,SUD0127,579.0,,False,579.0,Counted Price
192,PriceError,1163133984843878340	,Invoice,SUD0127,545.0,,False,545.0,Counted Price
193,Empty,1163151072093390235	,Invoice,SUD0128,0.0,,False,,
194,Empty,1163161120915603717	,Invoice,SUD0128,709.5,,False,,
195,PriceError,1163169344164883535	,Invoice,SUD0127,679.0,,False,679.0,Counted Price
196,PriceError,1163192576634518309	,Invoice,SUD0127,335.0,,False,335.0,Counted Price
197,Empty,1163234912980565818	,Invoice,SUD0128,714.15,,False,,
198,Empty,1163241408992080269	,Invoice,SUD0128,1017.72,,False,,
199,Empty,1163241952937419961	,Invoice,SUD0128,709.5,,False,,
200,Empty,1163243840116910528	,Invoice,SUD0128,165.05,,False,,
201,Empty,1163246656479131253	,Invoice,SUD0128,669.0,,False,,
202,Empty,1163253632862225176	,Invoice,SUD0128,633.18,,False,,
203,PriceError,1163254912847387948	,Invoice,SUD0127,665.0,,False,665.0,Counted Price
204,Empty,1163267424796262179	,Invoice,SUD0128,786.76,,False,,
205,PriceError,1163282240574453991	,Invoice,SUD0127,654.0,,False,654.0,Counted Price
206,PriceError,1163292000022291390	,Invoice,SUD0127,674.89,,False,674.89,Counted Price
207,PriceError,1163295456595917829	,Invoice,SUD0127,449.0,,False,449.0,Counted Price
208,PriceError,1163311488974527676	,Invoice,SUD0127,629.1,,False,629.1,Counted Price
209,Empty,1163323840221832473	,Invoice,SUD0128,669.0,,False,,
210,PriceError,1163372224501683990	,Invoice,SUD0127,383.1,,False,383.1,Counted Price
211,Empty,1163375328044899973	,Invoice,SUD0128,769.0,,False,,
212,Empty,1163460224289219644	,Invoice,SUD0128,115.0,,False,,
213,PriceError,1163480640143180351	,Invoice,SUD0127,840.0,,False,840.0,Counted Price
214,PriceError,1163502432529355523	,Invoice,SUD0127,0.0,,False,0.0,Counted Price
215,Empty,1163509760022073921	,Invoice,SUD0128,653.1,,False,,
216,PriceError,1163563330726514929	,Invoice,SUD0127,0.0,,False,0.0,Counted Price
217,PriceError,1163564098739079186	,Invoice,SUD0127,515.0,,False,515.0,Counted Price
218,Empty,1163567490589227449	,Invoice,SUD0128,740.96,,False,,
219,PriceError,1163569216591959717	,Invoice,SUD0127,595.24,,False,595.24,Counted Price
220,Empty,1163570976671987187	,Invoice,SUD0128,154.5,,False,,
221,Empty,1163571938591433146	,Invoice,SUD0128,303.94,,False,,
222,PriceError,1163576417094764368	,Invoice,SUD0127,0.0,,False,0.0,Counted Price
223,PriceError,1163578402133036352	,Invoice,SUD0127,649.0,,False,649.0,Counted Price
224,PriceError,1163578498109342276	,Invoice,SUD0127,955.0,,False,955.0,Counted Price
225,PriceError,1163579553926669667	,Invoice,SUD0127,840.0,,False,840.0,Counted Price
226,PriceError,1163585473246878340	,Invoice,SUD0127,665.0,,False,665.0,Counted Price
227,PriceError,1163597632904020549	,Invoice,SUD0127,626.08,,False,626.08,Counted Price
228,PriceError,1163604673417213037	,Invoice,SUD0127,515.0,,False,515.0,Counted Price
229,PriceError,1163622626720585266	,Invoice,SUD0127,285.0,,False,285.0,Counted Price
230,Empty,1163625986389349537	,Invoice,SUD0128,0.0,,False,,
231,Empty,1163635842473679890	,Invoice,SUD0128,680.0,,False,,
232,Empty,1163642114402335963	,Invoice,SUD0128,621.61,,False,,
233,Empty,1163643682890990672	,Invoice,SUD0128,544.11,,False,,
234,Empty,1163644674657491243	,Invoice,SUD0128,799.0,,False,,
235,Empty,1163644930489079831	,Invoice,SUD0128,709.5,,False,,
236,Empty,1163646562733005881	,Invoice,SUD0128,1089.0,,False,,
237,Empty,1163648000402054617	,Invoice,SUD0128,721.84,,False,,
238,PriceError,1163652098428287585	,Invoice,SUD0127,277.34,,False,277.34,Counted Price
239,Empty,1163652769525494078	,Invoice,SUD0128,-0.0,,False,,
240,Empty,1163653506423210083	,Invoice,SUD0128,484.5,,False,,
241,PriceError,1163658146233122111	,Invoice,SUD0127,770.0,,False,770.0,Counted Price
242,PriceError,1163661664064561592	,Invoice,SUD0127,0.0,,False,0.0,Counted Price
243,PriceError,1163661857473463448	,Invoice,SUD0127,497.77,,False,497.77,Counted Price
244,PriceError,1163663585399438663	,Invoice,SUD0127,0.0,,False,0.0,Counted Price
245,Empty,1163668193176538618	,Invoice,SUD0128,981.0,,False,,
246,Empty,1163671010097506112	,Invoice,SUD0128,1089.46,,False,,
247,PriceError,1163671713901829815	,Invoice,SUD0127,0.0,,False,515.0,Counted Price
248,PriceError,1163672866701557720	,Invoice,SUD0127,785.51,,False,785.51,Counted Price
249,PriceError,1163673953391704928	,Invoice,SUD0127,525.0,,False,525.0,Counted Price
250,PriceError,1163680034260149148	,Invoice,SUD0127,345.0,,False,345.0,Counted Price
251,PriceError,1163682401308958549	,Invoice,SUD0127,1434.0,,False,1434.0,Counted Price
252,PriceError,1163682658898652417	,Invoice,SUD0127,581.57,,False,581.57,Counted Price
253,PriceError,1163685057309356232	,Invoice,SUD0127,491.1,,False,491.1,Counted Price
254,Empty,1163685090287136159	,Invoice,SUD0128,158.1,,False,,
255,PriceError,1163687649976983466	,Invoice,SUD0127,329.58,,False,329.58,Counted Price
256,PriceError,1163690497132393251	,Invoice,SUD0127,399.0,,False,399.0,Counted Price
257,Empty,1163693250296157339	,Invoice,SUD0128,734.2,,False,,
258,Empty,1163694849494445338	,Invoice,SUD0128,705.21,,False,,
259,Empty,1163698977962515813	,Invoice,SUD0128,270.0,,False,,
260,Empty,1163703938656652483	,Invoice,SUD0128,669.0,,False,,
261,Empty,1163704482618678611	,Invoice,SUD0128,407.87,,False,,
262,Empty,1163708321290635288	,Invoice,SUD0128,0.0,,False,,
263,PriceError,1163710849176336047	,Invoice,SUD0127,639.0,,False,639.0,Counted Price
264,Empty,1163713217524108880	,Invoice,SUD0128,875.1,,False,,
265,Empty,1163714658610707652	,Invoice,SUD0128,628.77,,False,,
266,Empty,1163714658819408442	,Invoice,SUD0128,659.14,,False,,
267,PriceError,1163718274427450468	,Invoice,SUD0127,665.0,,False,665.0,Counted Price
268,Empty,1163718913161322724	,Invoice,SUD0128,0.0,,False,,
269,Empty,1163723585134264407	,Invoice,SUD0128,537.12,,False,,
270,PriceError,1163724610525424708	,Invoice,SUD0127,0.0,,False,0.0,Counted Price
271,PriceError,1163736898082629576	,Invoice,SUD0127,0.0,,False,0.0,Counted Price
272,Empty,1163740482155977093	,Invoice,SUD0128,-0.0,,False,,
273,Empty,1163748769484233728	,Invoice,SUD0128,617.72,,False,,
274,PriceError,1163748865509914781	,Invoice,SUD0127,679.0,,False,679.0,Counted Price
275,Empty,1163750848268254077	,Invoice,SUD0128,0.0,,False,,
276,PriceError,1163757762867062209	,Invoice,SUD0127,665.0,,False,665.0,Counted Price
277,Empty,1163766721543724359	,Invoice,SUD0128,0.0,,False,,
278,Empty,1163767905014719636	,Invoice,SUD0128,581.13,,False,,
279,PriceError,1163767905015719636	,Invoice,SUD0127,298.87,,False,298.87,Counted Price
280,PriceError,1163775970885095667	,Invoice,SUD0127,399.0,,False,399.0,Counted Price
281,PriceError,1163776705694730307	,Invoice,SUD0127,0.0,,False,0.0,Counted Price
282,PriceError,1163776705892954322	,Invoice,SUD0127,665.0,,False,665.0,Counted Price
283,Empty,1163788866671512621	,Invoice,SUD0128,1561.0,,False,,
284,PriceError,1163798464190851869	,Invoice,SUD0127,369.0,,False,369.0,Counted Price
285,PriceError,1163800867331504349	,Invoice,SUD0127,355.0,,False,355.0,Counted Price
286,PriceError,1163803265812828691	,Invoice,SUD0127,740.1,,False,740.1,Counted Price
287,Empty,1163807459035712084	,Invoice,SUD0128,0.0,,False,,
288,PriceError,1163808449219667191	,Invoice,SUD0127,298.03,,False,298.03,Counted Price
289,Empty,1163808865763016379	,Invoice,SUD0128,0.0,,False,,
290,PriceError,1163814883855121532	,Invoice,SUD0127,575.0,,False,575.0,Counted Price
291,Empty,1163814913921009147	,Invoice,SUD0128,689.0,,False,,
292,PriceError,1163821505840883310	,Invoice,SUD0127,336.26,,False,336.26,Counted Price
293,PriceError,1163822082898801862	,Invoice,SUD0127,395.0,,False,395.0,Counted Price
294,PriceError,1163827522140108488	,Invoice,SUD0127,599.0,,False,599.0,Counted Price
295,PriceError,1163831490786287585	,Invoice,SUD0127,493.41,,False,493.41,Counted Price
296,Empty,1163831906658544191	,Invoice,SUD0128,1258.0,,False,,
297,Empty,1163832000344710976	,Invoice,SUD0128,484.5,,False,,
298,PriceError,1163834882598667191	,Invoice,SUD0127,732.38,,False,732.38,Counted Price
299,PriceError,1163841442439846724	,Invoice,SUD0127,345.0,,False,345.0,Counted Price
300,Empty,1163847105476185314	,Invoice,SUD0128,709.5,,False,,
301,PriceError,1163848705920077389	,Invoice,SUD0127,0.0,,False,0.0,Counted Price
302,PriceError,1163848897025748577	,Invoice,SUD0127,395.0,,False,395.0,Counted Price
303,PriceError,1163850561857182810	,Invoice,SUD0127,665.0,,False,665.0,Counted Price
304,PriceError,1163852992716946044	,Invoice,SUD0127,699.0,,False,699.0,Counted Price
305,Empty,1163853571344750228	,Invoice,SUD0128,163.66,,False,,
306,PriceError,1163853859757921563	,Invoice,SUD0127,631.21,,False,631.21,Counted Price
307,Empty,1163859617451981032	,Invoice,SUD0128,1100.85,,False,,
308,Empty,1163866178176900178	,Invoice,SUD0128,565.0,,False,,
309,PriceError,1163868163746992078	,Invoice,SUD0127,569.0,,False,559.0,Counted Price
310,PriceError,1163873059757710159	,Invoice,SUD0127,465.0,,False,465.0,Counted Price
311,Empty,1163882019631633616	,Invoice,SUD0128,1290.0,,False,,
312,PriceError,1163883395036739831	,Invoice,SUD0127,345.0,,False,345.0,Counted Price
313,PriceError,1163883875957831562	,Invoice,SUD0127,551.57,,False,551.57,Counted Price
314,PriceError,1163895331449701858	,Invoice,SUD0127,579.0,,False,579.0,Counted Price
315,Empty,1163899267783832424	,Invoice,SUD0128,669.0,,False,,
316,Empty,1163900355671522866	,Invoice,SUD0128,648.2,,False,,
317,Empty,1163902626200528285	,Invoice,SUD0128,537.46,,False,,
318,PriceError,1163906817562739953	,Invoice,SUD0127,754.58,,False,754.58,Counted Price
319,PriceError,1163921410965996976	,Invoice,SUD0127,665.0,,False,665.0,Counted Price
320,Empty,1163921923941861739	,Invoice,SUD0128,580.21,,False,,
321,PriceError,1163922979750808544	,Invoice,SUD0127,710.92,,False,710.92,Counted Price
322,Empty,1163928546448399736	,Invoice,SUD0128,329.0,,False,,
323,Empty,1163929313602142142	,Invoice,SUD0128,888.5,,False,,
324,PriceError,1163929315755929806	,Invoice,SUD0127,336.16,,False,336.16,Counted Price
325,PriceError,1163930179101048437	,Invoice,SUD0127,728.95,,False,728.95,Counted Price
326,PriceError,1163930499673012909	,Invoice,SUD0127,852.0,,False,852.0,Counted Price
327,PriceError,1163930787372016468	,Invoice,SUD0127,713.91,,False,713.91,Counted Price
328,Empty,1163931041697713056	,Invoice,SUD0128,1009.58,,False,,
329,PriceError,1163934082877949130	,Invoice,SUD0127,569.0,,False,569.0,Counted Price
330,Empty,1163938243626490554	,Invoice,SUD0128,157.64,,False,,
331,PriceError,1163940386088839453	,Invoice,SUD0127,565.0,,False,565.0,Counted Price
332,PriceError,1163942531027722231	,Invoice,SUD0127,649.0,,False,649.0,Counted Price
333,Empty,1163944737334329782	,Invoice,SUD0128,129.0,,False,,
334,PriceError,1163944962993573415	,Invoice,SUD0127,0.0,,False,0.0,Counted Price
335,Empty,1163945953053685276	,Invoice,SUD0128,699.0,,False,,
336,PriceError,1163952707402987925	,Invoice,SUD0127,399.0,,False,399.0,Counted Price
337,PriceError,1163953474241348961	,Invoice,SUD0127,-0.0,,False,0.0,Counted Price
338,Empty,1163956322394040735	,Invoice,SUD0128,779.0,,False,,
339,PriceError,1163961027451704816	,Invoice,SUD0127,336.31,,False,336.31,Counted Price
340,PriceError,1163962817390215175	,Invoice,SUD0127,979.0,,False,979.0,Counted Price
341,PriceError,1163964963821525327	,Invoice,SUD0127,355.0,,False,355.0,Counted Price
342,Empty,1163966625754551965	,Invoice,SUD0128,680.1,,False,,
