	Reason	External Doc No.	Posting Date	Doc Type	Customer No.	Amount	UserID	Open	Ali_Amount	Ali_Type
21	Empty	"1163813281976483170B	"	2020/8/14	Credit Memo	SUD0127	-349.09		FALSE		
22	Empty	"1163813281976483170C	"	2020/8/14	Credit Memo	SUD0127	-384.37		FALSE		
23	Empty	"1163813281976483170R	"	2020/8/14	Credit Memo	SUD0127	-1047.27		FALSE		
90	Empty	"11764893141756341502	"	2020/8/14	Invoice	SUD0127	780.28		FALSE		
95	Empty	"11778661769003451842	"	2020/8/14	Invoice	SUD0127	354.48		FALSE		
96	Empty	"11780680025562106322	"	2020/8/14	Invoice	SUD0127	345		FALSE		
97	Empty	"11782770891545149292	"	2020/8/14	Invoice	SUD0127	336.66		FALSE		
98	Empty	"11784680654975642862	"	2020/8/14	Invoice	SUD0127	575		FALSE		
99	Empty	"11786395545787447642	"	2020/8/14	Invoice	SUD0127	345		FALSE		
100	Empty	"11791191363030341262	"	2020/8/15	Invoice	SUD0127	392.89		FALSE		
103	Empty	"11798982093985682733	"	2020/8/15	Invoice	SUD0127	344.08		FALSE		
106	Empty	"11800764500772844702	"	2020/8/15	Invoice	SUD0127	565		FALSE		
108	Empty	"11803779557929112742	"	2020/8/15	Invoice	SUD0127	345		FALSE		
110	Empty	"11807303367478884232	"	2020/8/16	Invoice	SUD0127	457.12		FALSE		
111	Empty	"11817381761604063152	"	2020/8/16	Invoice	SUD0127	405		FALSE		
112	Empty	"11818662728068519072	"	2020/8/16	Invoice	SUD0127	405		FALSE		
113	Empty	"1182240097143676017	"	2020/8/16	Invoice	SUD0127	0		FALSE		
114	Empty	"11829210904242753242	"	2020/8/16	Invoice	SUD0127	499		FALSE		
2063	PriceError	"612676719405459203	"	2020/8/16	Invoice	SUD0127	395		FALSE	396	Counted Price
33	Empty	"11654241616107731462	"	2020/8/17	Invoice	SUD0127	759.07		FALSE		
37	Empty	"1165424161610773146C	"	2020/8/17	Credit Memo	SUD0127	-759.07		FALSE		
38	Empty	"1165424161610773146R	"	2020/8/17	Credit Memo	SUD0127	-759.07		FALSE		
102	Empty	"11798982093985682732	"	2020/8/17	Invoice	SUD0127	344.08		FALSE		
104	Empty	"1179898209398568273A	"	2020/8/17	Credit Memo	SUD0127	-344.08		FALSE		
105	Empty	"1179898209398568273R	"	2020/8/17	Credit Memo	SUD0127	-344.08		FALSE		
115	Empty	"11836441945944747602	"	2020/8/17	Invoice	SUD0127	770		FALSE		
118	Empty	"11838473295288299062	"	2020/8/17	Invoice	SUD0127	99		FALSE		
120	Empty	"11839805472582706492	"	2020/8/17	Invoice	SUD0127	405		FALSE		
121	Empty	"11842024675478058552	"	2020/8/17	Invoice	SUD0127	405		FALSE		
2051	Empty	"6024702775887078932	"	2020/8/17	Invoice	SUD0127	340.93		FALSE		
2053	Empty	"602470277588707893A	"	2020/8/17	Credit Memo	SUD0127	-340.93		FALSE		
2054	Empty	"602470277588707893R	"	2020/8/17	Credit Memo	SUD0127	-340.93		FALSE		
35	Empty	"1165424161610773146A	"	2020/8/18	Credit Memo	SUD0127	-0.09		FALSE		
36	Empty	"1165424161610773146B	"	2020/8/18	Credit Memo	SUD0127	-0.09		FALSE		
83	Empty	"1175184066828633653A	"	2020/8/18	Credit Memo	SUD0127	-447.32		FALSE		
84	Empty	"1175184066828633653R	"	2020/8/18	Credit Memo	SUD0127	-376.68		FALSE		
122	PriceError	"1185501794106365581	"	2020/8/18	Invoice	SUD0127	0		FALSE	900	Counted Price
61	Empty	"1168699136317617978R	"	2020/8/19	Credit Memo	SUD0127	-435		FALSE		
91	Empty	"1176489314175634150R	"	2020/8/19	Credit Memo	SUD0127	-390.15		FALSE		
101	Empty	"1179119136303034126R	"	2020/8/20	Credit Memo	SUD0127	-392.89		FALSE		
109	Empty	"1180377955792911274R	"	2020/8/20	Credit Memo	SUD0127	-345		FALSE		
2061	Empty	"612435247315371111R	"	2020/8/20	Credit Memo	SUD0127	-89.48		FALSE		
107	Empty	"1180076450077284470R	"	2020/8/21	Credit Memo	SUD0127	-565		FALSE		
123	PriceError	"1191147168376176237	"	2020/8/21	Invoice	SUD0127	435		FALSE	416	Counted Price
67	Empty	"1169486306864807635R	"	2020/8/23	Credit Memo	SUD0127	-385		FALSE		
126	PriceError	"1194932450210414351	"	2020/8/23	Invoice	SUD0127	589.14		FALSE	590	Counted Price
127	PriceError	"1195055969898352200	"	2020/8/23	Invoice	SUD0127	399		FALSE	400	Counted Price
119	Empty	"1183847329528829906R	"	2020/8/24	Credit Memo	SUD0127	-99		FALSE		
0	PriceError	"1104987396592604693	"	2020/8/26	Invoice	SUD0127	0		FALSE	0.93	Counted Price
4	PriceError	"1107409127740604693	"	2020/8/26	Invoice	SUD0127	590		FALSE	591	Counted Price
116	Empty	"1183644194594474760A	"	2020/8/27	Credit Memo	SUD0127	-385		FALSE		
117	Empty	"1183644194594474760R	"	2020/8/27	Credit Memo	SUD0127	-385		FALSE		
124	PriceError	"1192789921998419502	"	2020/8/27	Invoice	SUD0127	559.08		FALSE	532.04	Counted Price
125	PriceError	"1194002912697079553	"	2020/8/27	Invoice	SUD0127	589.14		FALSE	590	Counted Price
128	PriceError	"1197109987450968082	"	2020/8/27	Invoice	SUD0127	349.12		FALSE	350	Counted Price
301	PriceError	"1214201016965191381	"	2020/8/30	Invoice	SUD0127	690		FALSE	680	Counted Price
132	PriceError	"1202135395879596619	"	2020/9/9	Invoice	SUD0127	488.49		FALSE	478.49	Counted Price
133	PriceError	"1202142487446385509	"	2020/9/9	Invoice	SUD0127	497.09		FALSE	477.09	Counted Price
134	PriceError	"1202157965869037812	"	2020/9/9	Invoice	SUD0127	540.67		FALSE	503.37	Counted Price
135	PriceError	"1202174344409645420	"	2020/9/9	Invoice	SUD0127	526.28		FALSE	516.28	Counted Price
136	PriceError	"1202184427550707923	"	2020/9/9	Invoice	SUD0127	595.23		FALSE	585.23	Counted Price
137	PriceError	"1202204982314957814	"	2020/9/9	Invoice	SUD0127	988.86		FALSE	978.86	Counted Price
138	PriceError	"1202233998118071130	"	2020/9/9	Invoice	SUD0127	523.11		FALSE	513.11	Counted Price
139	PriceError	"1202266792549725409	"	2020/9/9	Invoice	SUD0127	541.84		FALSE	531.84	Counted Price
140	PriceError	"1202271942270046324	"	2020/9/9	Invoice	SUD0127	294.52		FALSE	284.52	Counted Price
141	PriceError	"1202284471547715311	"	2020/9/9	Invoice	SUD0127	534.85		FALSE	524.85	Counted Price
161	PriceError	"1204792320458850996	"	2020/9/9	Invoice	SUD0127	294.72		FALSE	284.72	Counted Price
428	PriceError	"1227117603514825585	"	2020/9/9	Invoice	SUD0127	552.01		FALSE	462.01	Counted Price
459	PriceError	"1233047091543876317	"	2020/9/9	Invoice	SUD0127	483.1		FALSE	393.1	Counted Price
460	PriceError	"1233222840497949066	"	2020/9/9	Invoice	SUD0127	504.34		FALSE	494.34	Counted Price
462	PriceError	"1233797653690896340	"	2020/9/9	Invoice	SUD0127	712.6		FALSE	612.6	Counted Price
463	PriceError	"1234063189352809670	"	2020/9/9	Invoice	SUD0127	663.03		FALSE	648.03	Counted Price
464	PriceError	"1234086482132933241	"	2020/9/9	Invoice	SUD0127	285.48		FALSE	275.48	Counted Price
465	PriceError	"1234095518330268966	"	2020/9/9	Invoice	SUD0127	580		FALSE	579.91	Counted Price
466	PriceError	"1234121690884459272	"	2020/9/9	Invoice	SUD0127	505.72		FALSE	495.72	Counted Price
467	PriceError	"1234123849177068274	"	2020/9/9	Invoice	SUD0127	496.07		FALSE	461.07	Counted Price
468	PriceError	"1234131517761655363	"	2020/9/9	Invoice	SUD0127	482.37		FALSE	472.37	Counted Price
469	PriceError	"1234153190856904558	"	2020/9/9	Invoice	SUD0127	577.53		FALSE	567.53	Counted Price
470	PriceError	"1234196210719718370	"	2020/9/9	Invoice	SUD0127	284.52		FALSE	274.52	Counted Price
471	PriceError	"1234275771851849737	"	2020/9/9	Invoice	SUD0127	525.15		FALSE	515.15	Counted Price
472	PriceError	"1234288947168191668	"	2020/9/9	Invoice	SUD0127	490.3		FALSE	480.3	Counted Price
473	PriceError	"1234293591318802857	"	2020/9/9	Invoice	SUD0127	284.52		FALSE	274.52	Counted Price
474	PriceError	"1234323289024554244	"	2020/9/9	Invoice	SUD0127	481.29		FALSE	471.29	Counted Price
475	PriceError	"1234386326124530340	"	2020/9/9	Invoice	SUD0127	291.07		FALSE	281.07	Counted Price
476	PriceError	"1234401771746467641	"	2020/9/9	Invoice	SUD0127	629.91		FALSE	609.91	Counted Price
477	PriceError	"1234457139294267750	"	2020/9/9	Invoice	SUD0127	490.23		FALSE	480.23	Counted Price
479	PriceError	"1234752626936243467	"	2020/9/9	Invoice	SUD0127	567.73		FALSE	557.73	Counted Price
480	PriceError	"1234788374742549237	"	2020/9/9	Invoice	SUD0127	510.32		FALSE	500.32	Counted Price
481	PriceError	"1234936731622736036	"	2020/9/9	Invoice	SUD0127	1016.63		FALSE	1016.62	Counted Price
487	PriceError	"1235735677865729168	"	2020/9/9	Invoice	SUD0127	683.45		FALSE	639.28	Counted Price
174	PriceError	"1205957101536181298	"	2020/9/10	Invoice	SUD0127	1010.13		FALSE	1000.13	Counted Price
175	PriceError	"1206023665033497198	"	2020/9/10	Invoice	SUD0127	719.1		FALSE	673.14	Counted Price
176	PriceError	"1206066181837905095	"	2020/9/10	Invoice	SUD0127	359		FALSE	349	Counted Price
178	PriceError	"1206386619990971292	"	2020/9/10	Invoice	SUD0127	558.03		FALSE	548.03	Counted Price
361	PriceError	"1218949705794849721	"	2020/9/10	Invoice	SUD0127	732.6		FALSE	722.6	Counted Price
492	PriceError	"1235914886470058243	"	2020/9/10	Invoice	SUD0127	326.13		FALSE	316.13	Counted Price
495	PriceError	"1236222864702003012	"	2020/9/10	Invoice	SUD0127	476.45		FALSE	452.65	Counted Price
497	PriceError	"1236315888423984651	"	2020/9/10	Invoice	SUD0127	326.13		FALSE	316.13	Counted Price
498	PriceError	"1236357685946218082	"	2020/9/10	Invoice	SUD0127	534.92		FALSE	524.92	Counted Price
507	PriceError	"1237496546029968129	"	2020/9/10	Invoice	SUD0127	336.13		FALSE	326.13	Counted Price
508	PriceError	"1237611204121427444	"	2020/9/10	Invoice	SUD0127	517.73		FALSE	497.73	Counted Price
517	PriceError	"1238244732687497137	"	2020/9/11	Invoice	SUD0127	326.13		FALSE	306.13	Counted Price
525	PriceError	"1238957750633725523	"	2020/9/11	Invoice	SUD0127	690.88		FALSE	646.34	Counted Price
530	PriceError	"1239300181495736961	"	2020/9/11	Invoice	SUD0127	984.3		FALSE	974.3	Counted Price
532	PriceError	"1239390684078300280	"	2020/9/11	Invoice	SUD0127	778.6		FALSE	768.6	Counted Price
534	PriceError	"1239684698340160049	"	2020/9/11	Invoice	SUD0127	523.13		FALSE	513.13	Counted Price
536	PriceError	"1239735960468448741	"	2020/9/11	Invoice	SUD0127	338.96		FALSE	328.96	Counted Price
537	PriceError	"1239749748216717484	"	2020/9/11	Invoice	SUD0127	606.46		FALSE	586.46	Counted Price
542	PriceError	"1240017663151100680	"	2020/9/11	Invoice	SUD0127	425		FALSE	415	Counted Price
547	PriceError	"1240085845382678448	"	2020/9/11	Invoice	SUD0127	583.33		FALSE	573.33	Counted Price
554	PriceError	"1240477202033254776	"	2020/9/11	Invoice	SUD0127	614.94		FALSE	604.94	Counted Price
539	PriceError	"1239889394886082933	"	2020/9/12	Invoice	SUD0127	534.24		FALSE	524.24	Counted Price
540	PriceError	"1239956460063138917	"	2020/9/12	Invoice	SUD0127	339		FALSE	319	Counted Price
551	PriceError	"1240340976039293809	"	2020/9/12	Invoice	SUD0127	326.13		FALSE	306.13	Counted Price
553	PriceError	"1240454484712159408	"	2020/9/12	Invoice	SUD0127	0		FALSE	275.3	Counted Price
555	PriceError	"1240504776047337683	"	2020/9/12	Invoice	SUD0127	525.13		FALSE	515.13	Counted Price
557	PriceError	"1240695614280058069	"	2020/9/12	Invoice	SUD0127	736.16		FALSE	716.16	Counted Price
560	PriceError	"1241096797836520139	"	2020/9/12	Invoice	SUD0127	406.3		FALSE	396.3	Counted Price
563	PriceError	"1241156054075494432	"	2020/9/12	Invoice	SUD0127	326.13		FALSE	316.13	Counted Price
564	PriceError	"1241175387713544573	"	2020/9/12	Invoice	SUD0127	662.26		FALSE	652.26	Counted Price
567	PriceError	"1241408593658608935	"	2020/9/12	Invoice	SUD0127	526.43		FALSE	516.43	Counted Price
570	PriceError	"1241720317775136131	"	2020/9/12	Invoice	SUD0127	579.28		FALSE	578.56	Counted Price
581	PriceError	"1242982980950189607	"	2020/9/13	Invoice	SUD0127	530.21		FALSE	441.21	Counted Price
582	PriceError	"1242991476402959907	"	2020/9/13	Invoice	SUD0127	354.13		FALSE	344.13	Counted Price
583	PriceError	"1242992376501228426	"	2020/9/13	Invoice	SUD0127	609.1		FALSE	579.1	Counted Price
595	PriceError	"1243832977364122272	"	2020/9/13	Invoice	SUD0127	661.03		FALSE	651.03	Counted Price
185	PriceError	"1207020541222471098	"	2020/9/14	Invoice	SUD0127	404.85		FALSE	394.85	Counted Price
606	PriceError	"1244927702718775430	"	2020/9/14	Invoice	SUD0127	830.3		FALSE	810.3	Counted Price
615	PriceError	"1245545787627601468	"	2020/9/14	Invoice	SUD0127	772.33		FALSE	762.33	Counted Price
618	PriceError	"1245643885045299904	"	2020/9/14	Invoice	SUD0127	626.18		FALSE	526.18	Counted Price
620	PriceError	"1245741627727667349	"	2020/9/14	Invoice	SUD0127	1021.59		FALSE	1001.59	Counted Price
624	PriceError	"1245918819672468225	"	2020/9/14	Invoice	SUD0127	609.05		FALSE	599.05	Counted Price
628	PriceError	"1246086147221500613	"	2020/9/14	Invoice	SUD0127	1064.3		FALSE	1054.3	Counted Price
647	PriceError	"1246516417145963706	"	2020/9/14	Invoice	SUD0127	684.79		FALSE	568.79	Counted Price
650	PriceError	"1246678779181755085	"	2020/9/14	Invoice	SUD0127	459.37		FALSE	449.37	Counted Price
129	PriceError	"1201507405177494600	"	2020/9/15	Invoice	SUD0127	215		FALSE	205	Counted Price
179	PriceError	"1206491124296663097	"	2020/9/15	Invoice	SUD0127	414.07		FALSE	404.07	Counted Price
665	PriceError	"1247054868978700469	"	2020/9/15	Invoice	SUD0127	636.83		FALSE	626.83	Counted Price
686	PriceError	"1247496374397630317	"	2020/9/15	Invoice	SUD0127	562.39		FALSE	537.39	Counted Price
733	PriceError	"1248481695288909313	"	2020/9/15	Invoice	SUD0127	459.3		FALSE	449.3	Counted Price
742	PriceError	"1248720914413989374	"	2020/9/15	Invoice	SUD0127	547.97		FALSE	307.1	Counted Price
743	PriceError	"1248754467308704827	"	2020/9/15	Invoice	SUD0127	509.23		FALSE	499.23	Counted Price
130	PriceError	"1201652883240958000	"	2020/9/16	Invoice	SUD0127	606.19		FALSE	596.19	Counted Price
746	PriceError	"1248840684819116962	"	2020/9/16	Invoice	SUD0127	732.33		FALSE	722.33	Counted Price
747	PriceError	"1248868332625438337	"	2020/9/16	Invoice	SUD0127	547.12		FALSE	537.12	Counted Price
759	PriceError	"1249534261194001750	"	2020/9/16	Invoice	SUD0127	591.41		FALSE	571.41	Counted Price
762	PriceError	"1249959386126922575	"	2020/9/16	Invoice	SUD0127	647.2		FALSE	637.2	Counted Price
763	PriceError	"1250295662275895622	"	2020/9/16	Invoice	SUD0127	365.3		FALSE	355.3	Counted Price
764	PriceError	"1250646158439351512	"	2020/9/16	Invoice	SUD0127	621.27		FALSE	611.27	Counted Price
765	PriceError	"1250732521647609567	"	2020/9/16	Invoice	SUD0127	636.43		FALSE	616.43	Counted Price
131	PriceError	"1201836662536717004	"	2020/9/17	Invoice	SUD0127	782.9		FALSE	762.9	Counted Price
767	PriceError	"1252889211194093819	"	2020/9/17	Invoice	SUD0127	787.1		FALSE	767.1	Counted Price
142	PriceError	"1202344225849167809	"	2020/9/18	Invoice	SUD0127	599.84		FALSE	513.1	Counted Price
766	PriceError	"1252441440779269547	"	2020/9/18	Invoice	SUD0127	639.48		FALSE	629.48	Counted Price
768	PriceError	"1253042640416481615	"	2020/9/18	Invoice	SUD0127	788.48		FALSE	768.48	Counted Price
143	PriceError	"1202484121286831112	"	2020/9/19	Invoice	SUD0127	365.3		FALSE	265.3	Counted Price
144	PriceError	"1202530633772567511	"	2020/9/19	Invoice	SUD0127	459.3		FALSE	449.3	Counted Price
217	PriceError	"1208604543619161699	"	2020/9/19	Invoice	SUD0127	877.05		FALSE	867.05	Counted Price
769	PriceError	"1255578877599376324	"	2020/9/19	Invoice	SUD0127	435.16		FALSE	405.16	Counted Price
147	PriceError	"1203092952288992706	"	2020/9/21	Invoice	SUD0127	585.1		FALSE	575.1	Counted Price
148	PriceError	"1203190513030471809	"	2020/9/21	Invoice	SUD0127	434.03		FALSE	424.03	Counted Price
221	PriceError	"1208868242955296188	"	2020/9/21	Invoice	SUD0127	540.96		FALSE	530.96	Counted Price
770	PriceError	"1258625952279017943	"	2020/9/21	Invoice	SUD0127	640		FALSE	630	Counted Price
771	PriceError	"1258713756429491754	"	2020/9/21	Invoice	SUD0127	999.18		FALSE	949.18	Counted Price
772	PriceError	"1259065188050113684	"	2020/9/21	Invoice	SUD0127	559.46		FALSE	549.46	Counted Price
773	PriceError	"1259575957895963042	"	2020/9/21	Invoice	SUD0127	493.55		FALSE	483.55	Counted Price
774	PriceError	"1259591438901227017	"	2020/9/21	Invoice	SUD0127	497.62		FALSE	487.62	Counted Price
775	PriceError	"1259593849919867649	"	2020/9/21	Invoice	SUD0127	472.37		FALSE	462.37	Counted Price
776	PriceError	"1259638490031605552	"	2020/9/21	Invoice	SUD0127	736.4		FALSE	726.4	Counted Price
777	PriceError	"1259641082163605552	"	2020/9/21	Invoice	SUD0127	671		FALSE	661	Counted Price
778	PriceError	"1259767119066762584	"	2020/9/21	Invoice	SUD0127	806.87		FALSE	796.87	Counted Price
779	PriceError	"1259779789862047836	"	2020/9/21	Invoice	SUD0127	846.33		FALSE	836.33	Counted Price
780	PriceError	"1260006661792555812	"	2020/9/21	Invoice	SUD0127	515		FALSE	505	Counted Price
781	PriceError	"1260091767876296981	"	2020/9/21	Invoice	SUD0127	495.09		FALSE	485.09	Counted Price
784	PriceError	"1260628527881323455	"	2020/9/21	Invoice	SUD0127	578.03		FALSE	558.03	Counted Price
150	PriceError	"1203422391728585409	"	2020/9/22	Invoice	SUD0127	648.59		FALSE	628.59	Counted Price
782	PriceError	"1260442297727851139	"	2020/9/22	Invoice	SUD0127	570.3		FALSE	560.3	Counted Price
783	PriceError	"1260483624196853642	"	2020/9/22	Invoice	SUD0127	505		FALSE	495	Counted Price
785	PriceError	"1260661501594975147	"	2020/9/22	Invoice	SUD0127	440.64		FALSE	395.64	Counted Price
786	PriceError	"1261373691787757539	"	2020/9/22	Invoice	SUD0127	578.03		FALSE	568.03	Counted Price
787	PriceError	"1261665471359061956	"	2020/9/22	Invoice	SUD0127	585.34		FALSE	575.34	Counted Price
788	PriceError	"1261908073612582343	"	2020/9/22	Invoice	SUD0127	758.3		FALSE	655	Counted Price
789	PriceError	"1262379603738868144	"	2020/9/22	Invoice	SUD0127	710.76		FALSE	690.76	Counted Price
790	PriceError	"1262387233003956926	"	2020/9/22	Invoice	SUD0127	643.95		FALSE	633.95	Counted Price
151	PriceError	"1203670827424798907	"	2020/9/23	Invoice	SUD0127	638.37		FALSE	628.37	Counted Price
152	PriceError	"1203689076316495305	"	2020/9/23	Invoice	SUD0127	530.75		FALSE	520.75	Counted Price
153	PriceError	"1203770547367274201	"	2020/9/23	Invoice	SUD0127	563.3		FALSE	553.3	Counted Price
791	PriceError	"1262804978475517164	"	2020/9/23	Invoice	SUD0127	509.42		FALSE	499.42	Counted Price
